file,species
fd87b36ae.png,Loose Silky-bent
0e8492cb1.png,Sugar beet
8d6acbe9b.png,Common Chickweed
54b3afd58.png,Cleavers
6049234e6.png,Fat Hen
82b5f4d33.png,Shepherds Purse
a0f37c726.png,Small-flowered Cranesbill
e0ec5b6a1.png,Sugar beet
1cfd91582.png,Charlock
456d507c0.png,Cleavers
d6d31dcbe.png,Scentless Mayweed
e1abb4ff9.png,Sugar beet
aa7d098d1.png,Common Chickweed
e19673dc9.png,Charlock
3e9f41817.png,Loose Silky-bent
c88ebfb47.png,Small-flowered Cranesbill
59c6a9f95.png,Fat Hen
5ee9d0a5b.png,Loose Silky-bent
0caeda5df.png,Common wheat
862b8e7a0.png,Sugar beet
0ee4ad224.png,Scentless Mayweed
92292055d.png,Common Chickweed
dabe3e5be.png,Small-flowered Cranesbill
668c1007c.png,Charlock
fb022edf9.png,Fat Hen
d102e1a15.png,Cleavers
5af1d74ee.png,Sugar beet
1d0cbd819.png,Loose Silky-bent
b215531dd.png,Cleavers
b145ba9d4.png,Scentless Mayweed
24a058589.png,Charlock
6a41bf95b.png,Scentless Mayweed
5bdcfa329.png,Loose Silky-bent
9643fc5f4.png,Charlock
98d819587.png,Shepherds Purse
4b155fb07.png,Maize
e5064f6be.png,Sugar beet
0d31e6602.png,Small-flowered Cranesbill
cf46d09c5.png,Common Chickweed
4bbf1f6ea.png,Shepherds Purse
8faadb6a8.png,Sugar beet
c1ecff98b.png,Loose Silky-bent
466bb6d3b.png,Maize
3ebbe9ca4.png,Charlock
25fa8d109.png,Common wheat
20e562fd5.png,Sugar beet
d14aa43f3.png,Small-flowered Cranesbill
cadab6616.png,Shepherds Purse
f25996db8.png,Small-flowered Cranesbill
4392d93cf.png,Fat Hen
cbe761896.png,Charlock
d2f0f326e.png,Common Chickweed
4e9d3765f.png,Charlock
b3d6fdb80.png,Shepherds Purse
966ae5ad9.png,Loose Silky-bent
96f14d90c.png,Sugar beet
8c9953903.png,Fat Hen
5c3cd7ea2.png,Scentless Mayweed
9baf94467.png,Sugar beet
43ede9de9.png,Charlock
1623fb9e1.png,Fat Hen
b6a3f7876.png,Black-grass
9c32a797e.png,Common wheat
71e73a8a0.png,Sugar beet
8db450ce3.png,Common Chickweed
a85b48a95.png,Scentless Mayweed
be341dbdc.png,Loose Silky-bent
c74c5b7fc.png,Shepherds Purse
c0bc3997b.png,Scentless Mayweed
279df95f2.png,Sugar beet
085974290.png,Scentless Mayweed
dd9f36df7.png,Small-flowered Cranesbill
d41d87796.png,Scentless Mayweed
d09d24c58.png,Loose Silky-bent
29ce426a1.png,Common Chickweed
6b721f68e.png,Loose Silky-bent
dd5ec63d9.png,Sugar beet
25cf6eb73.png,Charlock
b62dca166.png,Fat Hen
099b961ec.png,Shepherds Purse
fc3e58836.png,Scentless Mayweed
d09275360.png,Sugar beet
03a2ee656.png,Small-flowered Cranesbill
675ec1b0b.png,Small-flowered Cranesbill
6680836dd.png,Sugar beet
699d3c707.png,Sugar beet
42e7ed442.png,Shepherds Purse
1758a1baf.png,Common Chickweed
22fbf13d6.png,Loose Silky-bent
6982a9d30.png,Small-flowered Cranesbill
17a78fb44.png,Common wheat
c0d9e170b.png,Small-flowered Cranesbill
fe9e87b78.png,Scentless Mayweed
b5c7fd009.png,Loose Silky-bent
b4f7c9214.png,Loose Silky-bent
ec08a5d56.png,Small-flowered Cranesbill
a8b431a3e.png,Sugar beet
534e74d83.png,Maize
e52493d0b.png,Common wheat
32c86784b.png,Common Chickweed
4b032563b.png,Common Chickweed
2126dc71b.png,Common Chickweed
a74bf916d.png,Shepherds Purse
2d992d1fb.png,Loose Silky-bent
b6f3d8b5d.png,Scentless Mayweed
d0152bd7c.png,Fat Hen
61b044411.png,Loose Silky-bent
c6c8d4ba0.png,Loose Silky-bent
866be78b0.png,Common Chickweed
36839d5e9.png,Scentless Mayweed
88ac6df54.png,Loose Silky-bent
3526b05cc.png,Scentless Mayweed
fa5fd1384.png,Shepherds Purse
74d810f87.png,Loose Silky-bent
d6d80a321.png,Scentless Mayweed
a74d475c2.png,Common Chickweed
3f826b318.png,Common Chickweed
7a38416be.png,Charlock
e783f5a4f.png,Sugar beet
5bd71f445.png,Common Chickweed
809eb0b82.png,Charlock
589e643b8.png,Shepherds Purse
8ca6140ca.png,Loose Silky-bent
e19ad6ac9.png,Charlock
93079d970.png,Sugar beet
974959ec1.png,Common wheat
78b1bf91a.png,Sugar beet
7b21ba6ba.png,Sugar beet
f593c9cf0.png,Sugar beet
02cfeb38d.png,Loose Silky-bent
8e6ec1ca6.png,Small-flowered Cranesbill
52dc7a4d6.png,Common Chickweed
060f1dc84.png,Shepherds Purse
fadc6adbc.png,Charlock
f3fcfff1b.png,Cleavers
16fd2e01a.png,Small-flowered Cranesbill
46c14fde2.png,Loose Silky-bent
fea355851.png,Loose Silky-bent
3fbd0fc6a.png,Common Chickweed
2693e5c65.png,Maize
d0cdc768f.png,Common wheat
65e97117e.png,Loose Silky-bent
1821eb11a.png,Scentless Mayweed
0021e90e4.png,Small-flowered Cranesbill
5ca2687a4.png,Maize
